y,x,AP1,AP2,AP3
1,13,-52.0,-76.0,-94.0
1,13,-53.0,-73.0,-93.66
1,13,-52.0,-71.0,-94.0
1,13,-51.0,-73.0,-94.0
1,13,-52.0,-69.0,-97.0
1,13,-53.0,-70.0,-96.0
1,13,-52.0,-73.0,-95.0
1,13,-51.0,-70.0,-95.0
1,13,-52.0,-74.0,-96.0
1,13,-53.0,-71.0,-94.0
1,13,-53.0,-73.0,-94.0
1,13,-52.0,-73.0,-93.66
1,13,-53.0,-75.0,-94.0
1,14,-55.0,-60.0,-93.0
1,14,-58.0,-59.0,-93.58
1,14,-61.0,-62.0,-93.58
1,14,-58.0,-61.0,-95.0
1,14,-54.0,-61.0,-93.0
1,14,-53.0,-61.0,-93.58
1,14,-54.0,-60.0,-93.58
1,14,-64.0,-61.0,-93.58
1,14,-58.0,-60.0,-95.0
1,14,-53.0,-64.0,-93.58
1,14,-57.0,-64.0,-96.0
1,14,-57.0,-60.0,-93.58
1,14,-56.0,-60.0,-93.58
1,14,-58.0,-60.0,-93.58
1,14,-52.0,-61.0,-93.0
1,14,-55.0,-62.0,-96.0
1,14,-56.0,-62.0,-94.0
1,14,-56.0,-60.0,-95.0
1,14,-56.0,-60.0,-94.0
1,14,-56.0,-59.0,-93.0
1,14,-56.0,-60.0,-92.0
1,14,-55.0,-59.0,-90.0
1,14,-56.0,-61.0,-92.0
1,14,-56.0,-60.0,-91.0
1,14,-55.0,-60.0,-91.0
1,14,-56.0,-60.0,-93.0
1,14,-55.0,-60.0,-92.0
1,14,-55.0,-60.0,-95.0
1,14,-57.0,-61.0,-96.0
1,14,-56.0,-60.0,-93.0
1,14,-53.0,-59.0,-91.0
1,14,-57.0,-60.0,-94.0
1,14,-58.0,-60.0,-95.0
1,14,-59.0,-61.0,-93.58
1,14,-61.0,-59.0,-93.58
1,14,-62.0,-59.0,-97.0
1,14,-59.0,-58.0,-100.0
1,14,-61.0,-59.0,-97.0
1,14,-63.0,-60.0,-94.0
1,14,-65.0,-59.0,-94.0
1,14,-59.0,-58.0,-92.0
1,14,-59.0,-59.0,-93.0
1,14,-56.0,-58.0,-98.0
1,14,-57.0,-58.0,-93.0
1,14,-58.0,-59.0,-92.0
1,14,-61.0,-58.0,-92.0
1,14,-58.0,-60.0,-92.0
1,14,-60.0,-59.0,-91.0
1,14,-60.0,-60.0,-93.0
1,14,-56.0,-59.0,-92.0
1,14,-58.0,-59.0,-92.0
1,14,-54.0,-59.0,-93.0
1,14,-53.0,-59.0,-93.58
1,14,-57.0,-60.0,-93.58
1,14,-59.0,-61.0,-93.58
1,14,-58.0,-59.0,-93.58
1,14,-52.0,-60.0,-93.58
1,14,-52.0,-58.0,-93.58
1,14,-54.0,-58.0,-93.0
1,14,-53.0,-58.0,-94.0
2,11,-52.0,-66.0,-94.0
2,11,-56.0,-65.0,-96.0
2,11,-55.0,-65.0,-97.0
2,11,-52.0,-64.0,-95.0
2,11,-54.0,-64.0,-95.0
2,11,-54.0,-64.0,-95.0
2,11,-54.0,-64.0,-98.0
2,11,-55.0,-64.0,-95.0
2,11,-53.0,-66.0,-97.0
2,11,-49.0,-63.0,-95.0
2,11,-51.0,-68.0,-98.0
2,11,-48.0,-72.0,-95.0
2,11,-51.0,-73.0,-93.66
2,11,-50.0,-70.0,-93.66
2,11,-53.0,-71.0,-93.66
2,11,-55.0,-70.0,-93.66
2,11,-48.0,-74.0,-93.66
2,11,-48.0,-75.0,-93.66
2,11,-50.0,-67.0,-93.66
2,11,-48.0,-66.0,-94.0
2,11,-49.0,-65.0,-93.66
2,11,-48.0,-65.0,-93.66
2,11,-47.0,-64.0,-93.66
2,11,-46.0,-66.0,-93.66
2,11,-48.0,-66.0,-93.66
2,11,-48.0,-66.0,-93.66
2,11,-46.0,-65.0,-93.66
2,11,-48.0,-65.0,-93.66
2,11,-48.0,-65.0,-93.66
2,11,-46.0,-66.0,-93.66
2,11,-46.0,-67.0,-93.66
2,11,-45.0,-70.0,-93.66
2,11,-45.0,-71.0,-93.66
2,11,-43.0,-70.0,-93.66
2,11,-46.0,-68.0,-93.66
2,11,-44.0,-65.0,-95.0
2,11,-44.0,-65.0,-93.0
2,11,-43.0,-64.0,-91.0
